orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC10",0,2432,0.999954083496969,0.997554908284151,0.0690607572989077,0.986842105263158
"BFC1000",0,6,0.0733263554183726,0.0669475523236149,0.0350539562447871,0.00328947368421053
"BFC1001",0,8,0.14453402408046,0.142718593474079,0.0122064663248514,0.00328947368421053
"BFC1002",0,8,0.172902695230679,0.17487085223472,0.0109034180445749,0.00328947368421053
"BFC1003",0,8,0.185720675135119,0.18227980482989,0.0152172600286484,0.00328947368421053
"BFC1004",0,8,0.195615516602657,0.191970253705503,0.0253710671002053,0.00328947368421053
"BFC1005",0,8,0.193568949153425,0.186751637550375,0.0290861886909208,0.00328947368421053
"BFC1006",0,8,0.18493701469486,0.176975522380529,0.030763581457879,0.00328947368421053
"BFC1009",0,3,0.100464471913402,0.0981412639405204,0.0203486338282904,0.00328947368421053
"BFC101",0,8,0.139605941966439,0.138608417474758,0.0215095920819961,0.00328947368421053
"BFC1010",0,8,0.10066626662839,0.0956489483940186,0.035570343026119,0.00328947368421053
"BFC1011",0,8,0.138246294074185,0.136834030741129,0.0127950083405987,0.00328947368421053
"BFC1012",0,8,0.156172750003495,0.171558819606274,0.0316853976199989,0.00328947368421053
"BFC1013",0,8,0.168708998135437,0.16737691372123,0.01764349544229,0.00328947368421053
"BFC1014",0,8,0.179729703921266,0.177829299312625,0.0118768533612691,0.00328947368421053
"BFC1015",0,8,0.168529034696169,0.166242084346423,0.0177927789017173,0.00328947368421053
"BFC1016",0,8,0.17378420278867,0.169631586358151,0.0270199686894192,0.00328947368421053
"BFC1017",0,8,0.185775132103174,0.186281997118499,0.0230861556635062,0.00328947368421053
"BFC1018",0,8,0.175586883144353,0.174611335379115,0.0237338077722085,0.00328947368421053
"BFC1019",0,8,0.182070586043269,0.183425761095857,0.0166502672002587,0.00328947368421053
"BFC102",0,8,0.153304051907678,0.154408674920492,0.0318894889951945,0.00328947368421053
"BFC1020",0,8,0.173191383825504,0.183550251414511,0.025584583046711,0.00328947368421053
"BFC1021",0,8,0.18090008775081,0.181056452383227,0.0207452275539411,0.00328947368421053
"BFC1022",0,8,0.197023800917313,0.196396011511564,0.0271535914886064,0.00328947368421053
"BFC1024",0,4,0.0651210363721668,0.0645848556239139,0.0164506588780119,0.00328947368421053
"BFC1025",0,8,0.129019396181059,0.12992642474124,0.0254620772913634,0.00328947368421053
"BFC1026",0,8,0.163022479486646,0.164120714890424,0.0172785829234861,0.00328947368421053
"BFC1027",0,8,0.166024357377274,0.163591228317842,0.0325305079252035,0.00328947368421053
"BFC1028",0,8,0.174141403320149,0.179833992633967,0.0246210063213956,0.00328947368421053
"BFC1029",0,8,0.175954378814689,0.17294964571084,0.0169492656858166,0.00328947368421053
"BFC103",0,8,0.199897543437142,0.207107555800749,0.0412081371841153,0.00328947368421053
"BFC1030",0,8,0.169939469223822,0.168290789736311,0.0263251605577711,0.00328947368421053
"BFC1033",0,5,0.0670273244523859,0.0565593087195601,0.0239513382761069,0.00328947368421053
"BFC1034",0,7,0.0849422041926942,0.0740455071345931,0.0300024375245959,0.00328947368421053
"BFC1035",0,8,0.113354153241416,0.124779066247219,0.0236707220865825,0.00328947368421053
"BFC1036",0,8,0.146459470528635,0.143703016494536,0.0252287194621533,0.00328947368421053
"BFC1037",0,8,0.159353474593302,0.169877899805298,0.0351380033223871,0.00328947368421053
"BFC1038",0,8,0.176123686416171,0.176969299525451,0.0178252134557884,0.00328947368421053
"BFC1039",0,8,0.173035921826506,0.171524885980567,0.0155858232674847,0.00328947368421053
"BFC1040",0,8,0.161107876885666,0.166511215042155,0.0153730351058908,0.00328947368421053
"BFC1041",0,8,0.170970152471148,0.167726116567121,0.0124294288750485,0.00328947368421053
"BFC1042",0,8,0.173101399023735,0.173870161672677,0.0170610927387129,0.00328947368421053
"BFC1043",0,8,0.174512140550232,0.182392953527233,0.0203249394977725,0.00328947368421053
"BFC1044",0,8,0.175238129866979,0.173053375921877,0.0132244106430681,0.00328947368421053
"BFC1045",0,8,0.164566804655029,0.154395891971059,0.0252633984696655,0.00328947368421053
"BFC1046",0,8,0.198078202305009,0.197185651565165,0.0135046096455346,0.00328947368421053
"BFC1048",0,2,0.062330658623921,0.062330658623921,0.0232740239548291,0.00328947368421053
"BFC1049",0,8,0.0963906062194848,0.0956492142642823,0.022085889515481,0.00328947368421053
"BFC105",0,4,0.0915359323195812,0.0929210066530617,0.00481356621277584,0.00328947368421053
"BFC1050",0,8,0.158006093310796,0.156304678057468,0.0111389116182365,0.00328947368421053
"BFC1051",0,8,0.16662668589802,0.167408658393188,0.009650884626533,0.00328947368421053
"BFC1052",0,8,0.156035880976001,0.16309957864809,0.0202680457159118,0.00328947368421053
"BFC1053",0,8,0.177376227350694,0.178011955284683,0.0193611782841524,0.00328947368421053
"BFC1056",0,3,0.0563615598413456,0.0534171249018068,0.0130777543623911,0.00328947368421053
"BFC1057",0,6,0.0643545284367514,0.0583539496196013,0.0181715653200409,0.00328947368421053
"BFC1058",0,8,0.0914210494897557,0.0916766672381279,0.0169405697178239,0.00328947368421053
"BFC1059",0,8,0.121428790337168,0.116709818949161,0.0173848006430783,0.00328947368421053
"BFC106",0,7,0.0998108585732764,0.10126582278481,0.0248427493285194,0.00328947368421053
"BFC1060",0,8,0.136849566729081,0.142914410500163,0.0295980932383575,0.00328947368421053
"BFC1061",0,8,0.142337522215919,0.147032278859879,0.0228994606929127,0.00328947368421053
"BFC1062",0,8,0.147397209946135,0.152827434551004,0.0217500432270456,0.00328947368421053
"BFC1063",0,8,0.148429899111716,0.151069916151921,0.0145842350752274,0.00328947368421053
"BFC1064",0,8,0.151190432254143,0.152974451632274,0.01945626821499,0.00328947368421053
"BFC1065",0,8,0.151488697542889,0.154632182262852,0.0141994869628927,0.00328947368421053
"BFC1066",0,8,0.141699701438299,0.143127821022198,0.0162995699453186,0.00328947368421053
"BFC1067",0,8,0.138701167318638,0.140518139503621,0.0174082808385543,0.00328947368421053
"BFC1068",0,8,0.172509642928122,0.166399457761441,0.029634090768656,0.00328947368421053
"BFC1069",0,8,0.191034419172972,0.187996383395566,0.0291481038072934,0.00328947368421053
"BFC107",0,8,0.126553109052534,0.129702995685649,0.0205865264563254,0.00328947368421053
"BFC1071",0,2,0.0482732705431713,0.0482732705431713,0.0198442806381213,0.00328947368421053
"BFC1072",0,7,0.0696663460238221,0.0789705623127093,0.0214450683036259,0.00328947368421053
"BFC1073",0,8,0.128778306065916,0.122009863998444,0.0201860003007226,0.00328947368421053
"BFC1074",0,8,0.131441412474759,0.127819054580837,0.0231678827317011,0.00328947368421053
"BFC1075",0,8,0.132071104084459,0.129604592814962,0.0192202064023975,0.00328947368421053
"BFC1076",0,8,0.139782196943523,0.137213485642114,0.0229015083243184,0.00328947368421053
"BFC1077",0,8,0.156833810301437,0.161916163736552,0.0254653409276222,0.00328947368421053
"BFC108",0,8,0.164933884714089,0.148664649415541,0.0369765195244132,0.00328947368421053
"BFC1080",0,1,0.0787172011661808,0.0787172011661808,0,0.00328947368421053
"BFC1081",0,3,0.0626923386019112,0.0634920634920635,0.0166692863151858,0.00328947368421053
"BFC1082",0,5,0.0616924331082085,0.0445609436435125,0.0313704320421801,0.00328947368421053
"BFC1083",0,8,0.0790422376827988,0.0784884404365214,0.0293559738562556,0.00328947368421053
"BFC1084",0,8,0.09796398031411,0.0884676829324764,0.0227763819613357,0.00328947368421053
"BFC1085",0,8,0.112016686991984,0.11676244691425,0.0203557254148603,0.00328947368421053
"BFC1086",0,8,0.107148831922078,0.105488461578678,0.0199721019184126,0.00328947368421053
