orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC10",0,2361,1.00959537838584,1.00829187396352,0.0949592446295247,0.950819672131147
"BFC1001",0,6,0.185697918263347,0.174686446564869,0.0768892938717023,0.00327868852459016
"BFC1002",0,7,0.206770859846416,0.206642066420664,0.0467363305222659,0.00327868852459016
"BFC1003",0,6,0.307865062562528,0.311647229820204,0.0130212672930799,0.00327868852459016
"BFC1004",0,8,0.325233977645005,0.328536033978809,0.0667216463210851,0.00327868852459016
"BFC1005",0,7,0.342892709995263,0.348894348894349,0.0171171465925144,0.00327868852459016
"BFC1006",0,8,0.331601655631987,0.337691449065857,0.0309217563114421,0.00327868852459016
"BFC1007",0,8,0.3418855436879,0.347091842138201,0.0288726999520549,0.00327868852459016
"BFC1008",0,8,0.340590348822324,0.337333634107828,0.0373197725021035,0.00327868852459016
"BFC1009",0,8,0.361293762786543,0.364424633182096,0.0358461651843338,0.00327868852459016
"BFC101",0,8,0.294728899216398,0.292652068126521,0.0470239122552687,0.00327868852459016
"BFC1010",0,8,0.336041451883272,0.341585210369741,0.0271040035070149,0.00327868852459016
"BFC1011",0,8,0.390838345831726,0.381617128068387,0.0544664614059008,0.00327868852459016
"BFC1012",0,8,0.404073879449136,0.398497905242004,0.076779425939741,0.00327868852459016
"BFC1013",0,8,0.413732876400135,0.384555006333987,0.095706281258607,0.00327868852459016
"BFC1014",0,7,0.446099762253642,0.441947565543071,0.0338754382771978,0.00327868852459016
"BFC1016",0,3,0.243431743883637,0.242647058823529,0.0505201068720826,0.00327868852459016
"BFC1017",0,8,0.298282094338852,0.300653028201572,0.0316112461842923,0.00327868852459016
"BFC1018",0,7,0.330872764457551,0.325925925925926,0.022230667329078,0.00327868852459016
"BFC1019",0,6,0.289738734878753,0.292269473295906,0.00710507355028241,0.00327868852459016
"BFC102",0,7,0.324290242459028,0.332268370607029,0.0712721629402403,0.00327868852459016
"BFC1020",0,8,0.349501967452358,0.353027560534135,0.0334259828047359,0.00327868852459016
"BFC1021",0,7,0.363667917596852,0.366120218579235,0.0197564289237499,0.00327868852459016
"BFC1022",0,7,0.411486841382617,0.421686746987952,0.0225099699930827,0.00327868852459016
"BFC1025",0,4,0.168267289104922,0.170083657358313,0.0283667559206161,0.00327868852459016
"BFC1026",0,8,0.226249621234577,0.240429742719819,0.0739259951712173,0.00327868852459016
"BFC1027",0,8,0.281171112768305,0.282034542109324,0.0467244529873167,0.00327868852459016
"BFC1028",0,7,0.324998982453606,0.326018808777429,0.029391979470106,0.00327868852459016
"BFC1029",0,8,0.31573734153374,0.309203051452686,0.0269672422019144,0.00327868852459016
"BFC103",0,8,0.349051730593126,0.338934426229508,0.0817298259367583,0.00327868852459016
"BFC1030",0,8,0.302179069385142,0.310984783275825,0.0371945450159216,0.00327868852459016
"BFC1031",0,8,0.304906852483068,0.298260743211655,0.0557602188820737,0.00327868852459016
"BFC1032",0,8,0.315426890027889,0.315914301525812,0.0289913139267462,0.00327868852459016
"BFC1033",0,8,0.331606237231408,0.33760252023247,0.0350496304777645,0.00327868852459016
"BFC1034",0,8,0.35400237914915,0.343829532664794,0.0363414253616193,0.00327868852459016
"BFC1035",0,7,0.349077674373264,0.342075256556442,0.0261809787710871,0.00327868852459016
"BFC1036",0,8,0.379565552022751,0.380484247887126,0.0419469386038549,0.00327868852459016
"BFC1037",0,8,0.377337932562403,0.349056603773585,0.0777346748913851,0.00327868852459016
"BFC1038",0,8,0.446600883954424,0.441646682653877,0.0924064269442656,0.00327868852459016
"BFC1040",0,5,0.171414239010377,0.154639175257732,0.0584435913156087,0.00327868852459016
"BFC1041",0,7,0.267394382306566,0.278820375335121,0.0396868496144991,0.00327868852459016
"BFC1042",0,8,0.315902132594747,0.323419584413302,0.0616363514492622,0.00327868852459016
"BFC1043",0,8,0.329165274141368,0.323725905742255,0.030713001114443,0.00327868852459016
"BFC1044",0,6,0.320326442611946,0.317839791444484,0.00983151443906821,0.00327868852459016
"BFC1045",0,8,0.365521459232951,0.368743553964691,0.062336075828297,0.00327868852459016
"BFC1046",0,8,0.373295511147151,0.358218125960061,0.0885045908018343,0.00327868852459016
"BFC1049",0,2,0.167347415100945,0.167347415100945,0.0610641869620778,0.00327868852459016
"BFC1050",0,4,0.174325949052434,0.177626090254077,0.00908997683281929,0.00327868852459016
"BFC1051",0,8,0.214885081827562,0.214308779735209,0.0473229364058084,0.00327868852459016
"BFC1052",0,7,0.297538709752532,0.30028328611898,0.0209395350821914,0.00327868852459016
"BFC1053",0,8,0.304986959401083,0.296573965488356,0.0527514939445845,0.00327868852459016
"BFC1054",0,7,0.311255884026911,0.311688311688312,0.0158007304799135,0.00327868852459016
"BFC1055",0,8,0.323354204470588,0.321479948371249,0.0320751595319036,0.00327868852459016
"BFC1056",0,8,0.331259814567753,0.336731485070315,0.0233502785810609,0.00327868852459016
"BFC1057",0,7,0.325914504597817,0.333333333333333,0.0201906150508016,0.00327868852459016
"BFC1058",0,8,0.331725202192814,0.327205814018327,0.0471992772845848,0.00327868852459016
"BFC1059",0,5,0.378996674742683,0.380952380952381,0.00414916791716956,0.00327868852459016
"BFC106",0,3,0.215201476169036,0.216014897579143,0.00703790130218757,0.00327868852459016
"BFC1060",0,8,0.400294740691674,0.400028052458097,0.0539832529028569,0.00327868852459016
"BFC1061",0,8,0.431271618821209,0.420396029091681,0.106128694883091,0.00327868852459016
"BFC1063",0,3,0.15116766226738,0.136546184738956,0.039358814964615,0.00327868852459016
"BFC1064",0,8,0.205499577879069,0.205772005772006,0.0349028184057001,0.00327868852459016
"BFC1065",0,8,0.280808003885103,0.294747724205267,0.0554464691692312,0.00327868852459016
"BFC1066",0,5,0.298193641777117,0.299145299145299,0.00519744393278469,0.00327868852459016
"BFC1067",0,8,0.311488806285756,0.291869020741631,0.0508009888750344,0.00327868852459016
"BFC1068",0,8,0.308566761644853,0.304978999306773,0.0392773636989195,0.00327868852459016
"BFC1069",0,8,0.385679643028914,0.368148462754536,0.0713648285930455,0.00327868852459016
"BFC107",0,7,0.233983798666878,0.235294117647059,0.0470656407806939,0.00327868852459016
"BFC1072",0,2,0.121194140266786,0.121194140266786,0.0474394232509812,0.00327868852459016
"BFC1073",0,4,0.200398571279315,0.205273862122168,0.0440540200454941,0.00327868852459016
"BFC1074",0,7,0.163813919982683,0.185471406491499,0.0464092285033286,0.00327868852459016
"BFC1075",0,8,0.230776319461143,0.214993074792244,0.0409354229306559,0.00327868852459016
"BFC1076",0,8,0.272802260246212,0.258040735674115,0.041029408069632,0.00327868852459016
"BFC1077",0,7,0.265210983782047,0.262773722627737,0.059988380415747,0.00327868852459016
"BFC1078",0,8,0.276078008909259,0.276318205337918,0.0452399880136403,0.00327868852459016
"BFC1079",0,6,0.282759627234977,0.280010875682101,0.0087815766227232,0.00327868852459016
"BFC108",0,8,0.277706330350797,0.292245290514123,0.0423875143368583,0.00327868852459016
"BFC1080",0,8,0.283359103800041,0.283269076384828,0.0327680933967817,0.00327868852459016
"BFC1081",0,8,0.309497323288864,0.296087612637808,0.0639463835990869,0.00327868852459016
"BFC1082",0,8,0.33624468272232,0.326623863758147,0.0352274855758482,0.00327868852459016
"BFC1083",0,8,0.350080716793013,0.36857146889466,0.0619085256441446,0.00327868852459016
"BFC1084",0,8,0.388820917956546,0.37442491447446,0.0425358447847606,0.00327868852459016
"BFC1086",0,1,0.191489361702128,0.191489361702128,0,0.00327868852459016
"BFC1087",0,5,0.140788536745479,0.108626198083067,0.0603396418806538,0.00327868852459016
"BFC1088",0,7,0.198810778812094,0.208860759493671,0.0290817161339488,0.00327868852459016
"BFC1089",0,8,0.236034312885427,0.236419932268989,0.0430442002218497,0.00327868852459016
"BFC109",0,8,0.333153400767414,0.30615921630447,0.0740005055571349,0.00327868852459016
"BFC1090",0,6,0.248677511659737,0.245633881082797,0.0101756992126068,0.00327868852459016
"BFC1091",0,8,0.264442512848964,0.269094922737307,0.0659531517142649,0.00327868852459016
