2,13,13,1.0136,0.331,99669,99724,1e+05,96897,97388,1e+05
2,13,14,1.1335,9.299,90701,90701,1e+05,31780,31819,1e+05
2,13,16,1.2302,63.642,36358,36358,1e+05,1176,1176,1e+05
2,13,17,1.3116,94.898,5102,5102,1e+05,100,100,1e+05
2,13,18,1.3503,98.921,1079,1079,1e+05,49,49,1e+05
4,13,13,1.0136,0.657,99343,99397,1e+05,97120,97425,1e+05
4,13,14,1.1335,78.144,21856,21856,1e+05,6930,6931,1e+05
4,13,16,1.2302,99.851,149,149,1e+05,25,25,1e+05
4,13,17,1.3116,99.997,3,3,1e+05,0,0,1e+05
4,13,18,1.3503,99.999,1,1,1e+05,0,0,1e+05
6,13,13,1.0136,2.351,97649,97809,1e+05,96597,96833,1e+05
6,13,14,1.1335,98.61,1390,1390,1e+05,902,902,1e+05
6,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
6,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
6,13,18,1.3503,100,0,0,1e+05,0,0,1e+05
8,13,13,1.0136,5.159,94841,95088,1e+05,96131,96299,1e+05
8,13,14,1.1335,99.929,71,71,1e+05,98,98,1e+05
8,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
8,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
8,13,18,1.3503,100,0,0,1e+05,0,0,1e+05
10,13,13,1.0136,7.97,92030,92332,1e+05,95681,95783,1e+05
10,13,14,1.1335,99.996,4,4,1e+05,11,11,1e+05
10,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
10,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
10,13,18,1.3503,100,0,0,1e+05,0,0,1e+05
12,13,13,1.0136,11.257,88743,89139,1e+05,95022,95118,1e+05
12,13,14,1.1335,100,0,0,1e+05,1,1,1e+05
12,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
12,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
12,13,18,1.3503,100,0,0,1e+05,0,0,1e+05
14,13,13,1.0136,14.153,85847,86291,1e+05,94759,94830,1e+05
14,13,14,1.1335,100,0,0,1e+05,0,0,1e+05
14,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
14,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
14,13,18,1.3503,100,0,0,1e+05,0,0,1e+05
16,13,13,1.0136,17.438,82562,83086,1e+05,94131,94196,1e+05
16,13,14,1.1335,100,0,0,1e+05,0,0,1e+05
16,13,16,1.2302,100,0,0,1e+05,0,0,1e+05
16,13,17,1.3116,100,0,0,1e+05,0,0,1e+05
