"orf_name","hours","es","p"
"BFC1036",9,-0.4706454422197274,0.003289473684210526
"BFC783",10,-0.5107437681205407,0.003289473684210526
"BFC178",8,-0.5909227929114292,0.003289473684210526
"BFC694",14,-0.09349452469368613,0.003289473684210526
"BFC418",16,-0.09306351233593013,0.003289473684210526
"BFC102",11,-0.33174761151087206,0.003289473684210526
"BFC467",10,-0.45471996607166154,0.003289473684210526
"BFC496",13,-0.2244348380477924,0.003289473684210526
"BFC887",9,-0.506457758712183,0.003289473684210526
"BFC463",14,-0.1698875411848525,0.003289473684210526
"BFC521",10,-0.4196420653953722,0.003289473684210526
"BFC972",11,-0.2840322288677295,0.003289473684210526
"BFC205",10,-0.4206666943841655,0.003289473684210526
"BFC42",0,-0.915164092119976,0.003289473684210526
"BFC918",8,-0.5698185261543767,0.003289473684210526
"BFC294",13,-0.15943052670107472,0.003289473684210526
"BFC625",9,-0.4448097690779147,0.003289473684210526
"BFC744",0,-0.9117555896550437,0.003289473684210526
"BFC201",14,-0.09953090779616791,0.003289473684210526
"BFC292",9,-0.4780412925721056,0.003289473684210526
"BFC709",11,-0.3642894556235291,0.003289473684210526
"BFC471",8,-0.6259826033381672,0.003289473684210526
"BFC152",0,-0.8505549734137636,0.003289473684210526
"BFC276",11,-0.3209658725231527,0.003289473684210526
"BFC789",13,-0.28340544524800937,0.003289473684210526
"BFC658",8,-0.5163719266092581,0.003289473684210526
"BFC1070",13,-0.19579213950114593,0.003289473684210526
"BFC510",0,-0.9176798805232217,0.003289473684210526
"BFC978",13,-0.1602915682759175,0.003289473684210526
"BFC1069",9,-0.46748895733898843,0.003289473684210526
"BFC818",10,-0.4814027510405695,0.003289473684210526
"BFC210",8,-0.5919872610632129,0.003289473684210526
"BFC727",14,-0.1101006050888822,0.003289473684210526
"BFC1052",11,-0.32364952925722557,0.003289473684210526
"BFC529",13,-0.17594534311487742,0.003289473684210526
"BFC92",9,-0.5202150311518301,0.003289473684210526
"BFC554",10,-0.41739093401598326,0.003289473684210526
"BFC496",14,-0.14357286906319844,0.003289473684210526
"BFC24",10,-0.4755880506194635,0.003289473684210526
"BFC454",0,-0.9124309170308244,0.003289473684210526
"BFC953",8,-0.6015688871080408,0.003289473684210526
"BFC328",13,-0.18412389313876198,0.003289473684210526
"BFC66",9,-0.5640563294683031,0.003289473684210526
"BFC808",0,-0.8548610086160244,0.003289473684210526
"BFC234",14,-0.09540257671881247,0.003289473684210526
"BFC326",9,-0.47764787276765186,0.003289473684210526
"BFC741",11,-0.3879538903917398,0.003289473684210526
"BFC1016",10,-0.508848773712363,0.003289473684210526
"BFC187",0,-0.8197836439936026,0.003289473684210526
"BFC309",11,-0.35137917072921465,0.003289473684210526
"BFC823",13,-0.27468922413719543,0.003289473684210526
"BFC690",8,-0.5573680307439783,0.003289473684210526
"BFC1103",13,-0.17652498889088653,0.003289473684210526
"BFC543",0,-0.914849896332007,0.003289473684210526
"BFC1010",14,-0.100334278698617,0.003289473684210526
"BFC1101",9,-0.462248352168559,0.003289473684210526
"BFC510",11,-0.42667098927733316,0.003289473684210526
"BFC850",10,-0.4118338845623507,0.003289473684210526
"BFC243",8,-0.5230297267510173,0.003289473684210526
"BFC789",14,-0.1655404908315775,0.003289473684210526
"BFC1085",11,-0.324696328735397,0.003289473684210526
"BFC561",13,-0.17633149957834438,0.003289473684210526
"BFC955",9,-0.4208379646076046,0.003289473684210526
"BFC587",10,-0.4369727750056941,0.003289473684210526
"BFC102",8,-0.577352172437529,0.003289473684210526
