hours,pos,x6144plate_1,x6144col_1,x6144row_1,orf_name,bg,average,fitness
9,111153,1,1,1,"BF_control",181.850712473352,NaN,NaN
9,130385,1,1,2,"BFC383",284.931022333027,NaN,NaN
9,110385,1,1,3,"BFC383",285.423878077419,NaN,NaN
9,131153,1,1,4,"BF_control",139.297209687417,NaN,NaN
9,111154,1,1,5,"BF_control",NaN,NaN,NaN
9,130386,1,1,6,"BFC384",230.206181667904,NaN,NaN
9,110386,1,1,7,"BFC384",244.148634933845,NaN,NaN
9,131154,1,1,8,"BF_control",NaN,NaN,NaN
9,111155,1,1,9,"BF_control",152.260606094916,NaN,NaN
9,130387,1,1,10,"BFC385",141.681303638966,NaN,NaN
9,110387,1,1,11,"BFC385",152.260606094916,NaN,NaN
9,131155,1,1,12,"BF_control",141.681303638966,NaN,NaN
9,111156,1,1,13,"BF_control",156.830893900346,NaN,NaN
9,130388,1,1,14,"BFC386",140.129683472816,NaN,NaN
9,110388,1,1,15,"BFC386",152.596442650742,NaN,NaN
9,131156,1,1,16,"BF_control",143.043623866263,NaN,NaN
9,111157,1,1,17,"BF_control",153.081594666903,NaN,NaN
9,130389,1,1,18,"BFC387",140.406428504973,NaN,NaN
9,110389,1,1,19,"BFC387",153.081594666903,NaN,NaN
9,131157,1,1,20,"BF_control",139.131553370981,NaN,NaN
9,111158,1,1,21,"BF_control",151.645685998713,NaN,NaN
9,130390,1,1,22,"BFC388",137.594342957072,NaN,NaN
9,110390,1,1,23,"BFC388",147.665149425136,NaN,NaN
9,131158,1,1,24,"BF_control",137.594342957072,NaN,NaN
9,111159,1,1,25,"BF_control",147.105914776021,NaN,NaN
9,130391,1,1,26,"BFC389",132.642604299312,NaN,NaN
9,110391,1,1,27,"BFC389",135.526148889862,NaN,NaN
9,131159,1,1,28,"BF_control",131.236848563016,NaN,NaN
9,111160,1,1,29,"BF_control",133.277263070892,NaN,NaN
9,130392,1,1,30,"BFC390",105.348070107863,NaN,NaN
9,110392,1,1,31,"BFC390",119.646633893187,NaN,NaN
9,131160,1,1,32,"BF_control",104.501490362404,NaN,NaN
9,111161,1,1,33,"BF_control",120.403891069726,NaN,NaN
9,130393,1,1,34,"BFC391",105.348070107864,NaN,NaN
9,110393,1,1,35,"BFC391",129.256231236549,NaN,NaN
9,131161,1,1,36,"BF_control",105.348070107864,NaN,NaN
9,111162,1,1,37,"BF_control",129.256231236549,NaN,NaN
9,130394,1,1,38,"BFC392",101.472461656247,NaN,NaN
9,110394,1,1,39,"BFC392",122.675662599344,NaN,NaN
9,131162,1,1,40,"BF_control",105.348070107864,NaN,NaN
9,111163,1,1,41,"BF_control",129.256231236549,NaN,NaN
9,130395,1,1,42,"BFC393",104.501490362404,NaN,NaN
9,110395,1,1,43,"BFC393",133.277263070892,NaN,NaN
9,131163,1,1,44,"BF_control",110.571941352882,NaN,NaN
9,111164,1,1,45,"BF_control",138.528310415903,NaN,NaN
9,130396,1,1,46,"BFC394",112.54336153231,NaN,NaN
9,110396,1,1,47,"BFC394",139.38245829513,NaN,NaN
9,131164,1,1,48,"BF_control",119.157272862215,NaN,NaN
9,111165,1,1,49,"BF_control",141.552145288288,NaN,NaN
9,130397,1,1,50,"BFC395",118.93620185505,NaN,NaN
9,110397,1,1,51,"BFC395",141.552145288288,NaN,NaN
9,131165,1,1,52,"BF_control",125.34726106285,NaN,NaN
9,111166,1,1,53,"BF_control",152.596442650742,NaN,NaN
9,130398,1,1,54,"BFC396",122.473337969698,NaN,NaN
9,110398,1,1,55,"BFC396",160.830081752209,NaN,NaN
9,131166,1,1,56,"BF_control",128.663326170333,NaN,NaN
9,111167,1,1,57,"BF_control",149.610335500047,NaN,NaN
9,130399,1,1,58,"BFC397",128.663326170333,NaN,NaN
9,110399,1,1,59,"BFC397",162.219461900471,NaN,NaN
9,131167,1,1,60,"BF_control",130.877329207472,NaN,NaN
9,111168,1,1,61,"BF_control",160.992062622201,NaN,NaN
9,130400,1,1,62,"BFC398",NaN,NaN,NaN
9,110400,1,1,63,"BFC398",NaN,NaN,NaN
9,131168,1,1,64,"BF_control",132.812413192792,NaN,NaN
9,120769,1,2,1,"BFC764",194.68299849698,NaN,NaN
9,140001,1,2,2,"BFC1",300.267511484418,NaN,NaN
9,120001,1,2,3,"BFC1",242.420528529872,NaN,NaN
9,140769,1,2,4,"BFC764",161.622635702943,NaN,NaN
9,120770,1,2,5,"BFC765",NaN,NaN,NaN
9,140002,1,2,6,"BFC2",266.530034767826,NaN,NaN
9,120002,1,2,7,"BFC2",258.224697199853,NaN,NaN
9,140770,1,2,8,"BFC765",NaN,NaN,NaN
9,120771,1,2,9,"BFC766",NaN,NaN,NaN
9,140003,1,2,10,"BFC3",251.557329722922,NaN,NaN
9,120003,1,2,11,"BFC3",284.350069790454,NaN,NaN
9,140771,1,2,12,"BFC766",NaN,NaN,NaN
9,120772,1,2,13,"BFC767",296.71676383173,NaN,NaN
9,140004,1,2,14,"BFC4",243.353510005406,NaN,NaN
9,120004,1,2,15,"BFC4",300.333810841491,NaN,NaN
9,140772,1,2,16,"BFC767",245.594017142891,NaN,NaN
9,120773,1,2,17,"BFC768",300.333810841491,NaN,NaN
9,140005,1,2,18,"BFC5",244.352417602047,NaN,NaN
9,120005,1,2,19,"BFC5",296.71676383173,NaN,NaN
9,140773,1,2,20,"BFC768",245.594017142891,NaN,NaN
9,120774,1,2,21,"BFC769",296.71676383173,NaN,NaN
9,140006,1,2,22,"BFC6",245.836709087094,NaN,NaN
9,120006,1,2,23,"BFC6",287.757727084881,NaN,NaN
9,140774,1,2,24,"BFC769",240.689812178868,NaN,NaN
9,120775,1,2,25,"BFC770",287.757727084881,NaN,NaN
9,140007,1,2,26,"BFC7",245.351325198688,NaN,NaN
9,120007,1,2,27,"BFC7",284.728698378724,NaN,NaN
9,140775,1,2,28,"BFC770",240.689812178868,NaN,NaN
9,120776,1,2,29,"BFC771",272.409458320091,NaN,NaN
9,140008,1,2,30,"BFC8",236.63675909858,NaN,NaN
9,120008,1,2,31,"BFC8",235.162428873289,NaN,NaN
9,140776,1,2,32,"BFC771",231.006888700408,NaN,NaN
9,120777,1,2,33,"BFC772",239.517288667239,NaN,NaN
9,140009,1,2,34,"BFC9",206.105523780089,NaN,NaN
9,120009,1,2,35,"BFC9",236.614048804606,NaN,NaN
9,140777,1,2,36,"BFC772",185.358820873381,NaN,NaN
9,120778,1,2,37,"BFC773",238.410058706132,NaN,NaN
9,140010,1,2,38,"BFC10",184.392279817075,NaN,NaN
