orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,3,0.047652637372066,0.050203026947213,0.00736414449208977,0.00436681222707424
"BFC1001",0,8,0.0858366321214725,0.0814446489163598,0.0177825031646492,0.00436681222707424
"BFC1002",0,7,0.1191975676312,0.117161096507698,0.00879588422009422,0.00436681222707424
"BFC1003",0,8,0.154145276579654,0.153112530443951,0.0279593384950632,0.00436681222707424
"BFC1004",0,7,0.163518744360001,0.167502211736951,0.0156288035628092,0.00436681222707424
"BFC1005",0,8,0.168420526066279,0.169739924407498,0.011459784776391,0.00436681222707424
"BFC1006",0,8,0.17485410990417,0.173028292171988,0.015002360772579,0.00436681222707424
"BFC1007",0,7,0.165199423927645,0.168712985699841,0.0100341624390411,0.00436681222707424
"BFC1008",0,8,0.184224982279654,0.175859732095223,0.0194362275846095,0.00436681222707424
"BFC1009",0,8,0.175017985538577,0.169882035366514,0.0253406595210072,0.00436681222707424
"BFC101",0,8,0.114484751432916,0.110714408649856,0.0151464546634325,0.00436681222707424
"BFC1010",0,8,0.166938200860847,0.168722642260247,0.0235999645633022,0.00436681222707424
"BFC1011",0,8,0.172955736294647,0.174882366624107,0.0129025072444731,0.00436681222707424
"BFC1012",0,8,0.183956950576446,0.188431827043244,0.013315651268743,0.00436681222707424
"BFC1013",0,8,0.213443967681525,0.207042945646642,0.0254563014645966,0.00436681222707424
"BFC1016",0,5,0.0545456751212543,0.0531757754800591,0.00630565874235325,0.00436681222707424
"BFC1017",0,6,0.0724773617871495,0.0730243110757817,0.0235668327535258,0.00436681222707424
"BFC1018",0,7,0.105060553367777,0.11028778218163,0.0144318912918469,0.00436681222707424
"BFC1019",0,6,0.137355478347122,0.135312209822122,0.00625866752491103,0.00436681222707424
"BFC102",0,8,0.108854142713004,0.111952377493299,0.0143385231306752,0.00436681222707424
"BFC1020",0,8,0.150720970913831,0.150259141314572,0.0174908948317298,0.00436681222707424
"BFC1021",0,7,0.167881066131352,0.168175937904269,0.0075857521176223,0.00436681222707424
"BFC1022",0,8,0.166253969342641,0.170311331416198,0.0192176867681139,0.00436681222707424
"BFC1023",0,8,0.161788002863641,0.167068684045694,0.0125774821263953,0.00436681222707424
"BFC1024",0,7,0.170745099030857,0.172335600907029,0.0105472395108134,0.00436681222707424
"BFC1025",0,7,0.167486848338152,0.169354838709677,0.00927923668119039,0.00436681222707424
"BFC1026",0,8,0.15336038028482,0.154322409725543,0.0149589492080193,0.00436681222707424
"BFC1027",0,7,0.154578008587595,0.151181102362205,0.0127098093881171,0.00436681222707424
"BFC1028",0,8,0.169016097085621,0.166456296037932,0.0135680219168943,0.00436681222707424
"BFC1029",0,8,0.19932949868212,0.191190995143356,0.0329892610838313,0.00436681222707424
"BFC103",0,8,0.116169497210829,0.116987627467588,0.0106407627698789,0.00436681222707424
