orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1000",0,1,0.0649819494584837,0.0649819494584837,0,0.00328947368421053
"BFC1001",0,4,0.114168959602075,0.111548911110795,0.0205153702324674,0.00328947368421053
"BFC1002",0,4,0.134945313026981,0.143682598855013,0.0311377289424163,0.00328947368421053
"BFC1003",0,3,0.171960578392973,0.167300380228137,0.0085411595718844,0.00328947368421053
"BFC1004",0,3,0.186764006905222,0.196392040171099,0.0169226680489184,0.00328947368421053
"BFC1005",0,4,0.190474609517973,0.190163789959144,0.0186917699347293,0.00328947368421053
"BFC1006",0,3,0.19413894296312,0.195569136745607,0.0037798374900813,0.00328947368421053
"BFC1007",0,4,0.20021735415492,0.193147355845323,0.0303338994070621,0.00328947368421053
"BFC1008",0,4,0.219563809564496,0.219408901083531,0.0257824508010639,0.00328947368421053
"BFC1009",0,4,0.220676720620553,0.219753318896526,0.0227833999803782,0.00328947368421053
"BFC101",0,4,0.139530083852742,0.13576246065713,0.0237436958063696,0.00328947368421053
"BFC1010",0,4,0.177215415187758,0.184589560534247,0.0278387276506389,0.00328947368421053
"BFC1011",0,3,0.208786916653652,0.209567198177677,0.00389254302264763,0.00328947368421053
"BFC1012",0,4,0.223960256958214,0.22723082363044,0.0117716397767084,0.00328947368421053
"BFC1013",0,3,0.23647400874586,0.235684647302905,0.00547800487871384,0.00328947368421053
"BFC1016",0,2,0.0745783306137232,0.0745783306137232,0.00116760175258336,0.00328947368421053
"BFC1017",0,4,0.0934182731943931,0.0962559827080438,0.0345276621812744,0.00328947368421053
"BFC1018",0,4,0.110433302810886,0.113044045658486,0.0248430597600601,0.00328947368421053
"BFC1019",0,4,0.149868762175999,0.156346865126308,0.0267351299639887,0.00328947368421053
"BFC102",0,4,0.12305735004983,0.121318114308733,0.0216410924920286,0.00328947368421053
"BFC1020",0,4,0.165863560522835,0.161771568489438,0.0213250967527237,0.00328947368421053
"BFC1021",0,4,0.183822196290586,0.185759231660871,0.0183688269258099,0.00328947368421053
"BFC1022",0,4,0.178314837699347,0.177641055473705,0.0248733339636615,0.00328947368421053
"BFC1023",0,3,0.198659958439153,0.198599618077658,0.00268337796126325,0.00328947368421053
"BFC1024",0,4,0.198967420328096,0.19265402792857,0.0274752768009464,0.00328947368421053
"BFC1025",0,3,0.187351471391566,0.18450184501845,0.0069733714147002,0.00328947368421053
"BFC1026",0,4,0.177066953074264,0.180514057301087,0.0185890112740238,0.00328947368421053
"BFC1027",0,3,0.16959979005294,0.171220400728597,0.0059931744468018,0.00328947368421053
