orf_name,hours,N,cs_mean,cs_median,cs_std,p
"BFC1",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC10",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC1000",0,7,0.117166955377267,0.124352331606218,0.0164370374246679,0.00328947368421053
"BFC1001",0,7,0.204613039487908,0.194092827004219,0.0412422701903317,0.00328947368421053
"BFC1002",0,7,0.240247801422355,0.246056782334385,0.0373126271771754,0.00328947368421053
"BFC1003",0,7,0.329555628916602,0.321981424148607,0.0456653570595286,0.00328947368421053
"BFC1004",0,7,0.289046893589635,0.302824858757062,0.0624551694802627,0.00328947368421053
"BFC1005",0,7,0.316182591373524,0.316749153425371,0.015395133660948,0.00328947368421053
"BFC1006",0,7,0.318035530606914,0.314465408805031,0.0240732091903984,0.00328947368421053
"BFC1007",0,7,0.319389841907427,0.31960049937578,0.0301934387983788,0.00328947368421053
"BFC1008",0,7,0.350344671401772,0.343675417661098,0.037332015965542,0.00328947368421053
"BFC1009",0,7,0.338637431113638,0.329268292682927,0.0350613513847414,0.00328947368421053
"BFC101",0,7,0.261388487782644,0.261011419249592,0.0335861945941587,0.00328947368421053
"BFC1010",0,7,0.361443563613478,0.371287128712871,0.0687317547434758,0.00328947368421053
"BFC1011",0,7,0.383139735066511,0.373113854595336,0.0442463438534754,0.00328947368421053
"BFC1012",0,7,0.410544378728642,0.414860681114551,0.0311236488135441,0.00328947368421053
"BFC1013",0,7,0.480373424017618,0.513698630136986,0.114018625036462,0.00328947368421053
"BFC1014",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC1015",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC1016",0,7,0.137845561428983,0.141176470588235,0.0122123499910597,0.00328947368421053
"BFC1017",0,7,0.165393383042044,0.177606177606178,0.0560399359351699,0.00328947368421053
"BFC1018",0,7,0.221466635425733,0.233236151603499,0.046848797555373,0.00328947368421053
"BFC1019",0,7,0.276787402016119,0.281761006289308,0.0411046073063214,0.00328947368421053
"BFC102",0,7,0.239411598418936,0.246246246246246,0.0289265024976645,0.00328947368421053
"BFC1020",0,7,0.292120443133273,0.295948326482678,0.0322093378961554,0.00328947368421053
"BFC1021",0,7,0.312272371637412,0.317848410757946,0.019987551843881,0.00328947368421053
"BFC1022",0,7,0.31339862326357,0.320175438596491,0.0231348279336186,0.00328947368421053
"BFC1023",0,7,0.308977866409283,0.315789473684211,0.0176539262206538,0.00328947368421053
"BFC1024",0,7,0.342469016006584,0.347600518806744,0.0355680097110787,0.00328947368421053
"BFC1025",0,7,0.351655819204844,0.360902255639098,0.0368646158397887,0.00328947368421053
"BFC1026",0,7,0.32742104702077,0.317152103559871,0.0569363783594437,0.00328947368421053
"BFC1027",0,7,0.362127045704892,0.345423143350604,0.0537172285194998,0.00328947368421053
"BFC1028",0,7,0.39808045454988,0.396747967479675,0.0547407357765095,0.00328947368421053
"BFC1029",0,7,0.43460512127481,0.393530997304582,0.113815954776152,0.00328947368421053
"BFC103",0,7,0.247926662802398,0.229050279329609,0.0395216206140036,0.00328947368421053
"BFC1030",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC1031",0,7,NaN,NaN,NaN,0.00328947368421053
"BFC1032",0,7,0.138057979042607,0.129310344827586,0.0309242779960887,0.00328947368421053
"BFC1033",0,7,0.152630325065553,0.128574683832745,0.0749600477581578,0.00328947368421053
"BFC1034",0,7,0.216723555193897,0.223529411764706,0.0607683937095306,0.00328947368421053
"BFC1035",0,7,0.24157824989274,0.239747634069401,0.049889250407284,0.00328947368421053
"BFC1036",0,7,0.273986837299306,0.288156288156288,0.0520586233748327,0.00328947368421053
"BFC1037",0,7,0.277795889011756,0.292004634994206,0.0486276078107729,0.00328947368421053
"BFC1038",0,7,0.285057841560671,0.296482412060302,0.0458137071778241,0.00328947368421053
"BFC1039",0,7,0.294748092261396,0.305630026809651,0.0299155194450106,0.00328947368421053
"BFC104",0,7,0.263782506813854,0.279503105590062,0.0415777200446989,0.00328947368421053
"BFC1040",0,7,0.313123313644674,0.312684365781711,0.0435729787229068,0.00328947368421053
"BFC1041",0,7,0.330875294997616,0.326186291739895,0.0503441051057767,0.00328947368421053
"BFC1042",0,7,0.348311759548885,0.3125,0.0929454721784574,0.00328947368421053
"BFC1043",0,7,0.331534068271355,0.330769230769231,0.050586555368846,0.00328947368421053
"BFC1044",0,7,0.38775365311408,0.362393162393162,0.064384805119274,0.00328947368421053
